model,difficulty,t1_absolute_error,t2_cpl,t2_legal,t3_score,job_id,t1_relative_error,t1_abs_error_excl_mate,t2_cpl_clamped,t2_wp_loss,t3_score_v2
codellama:34b,easy,1669.8583604913513,5391.07047571105,0.6621666666666667,0.32256448785374403,6000,0.8400522607155737,83.16233960011937,693.110747545935,302.1915623631071,0.35762584522915103
codellama:34b,extreme,240.5586983729662,4038.592676767677,0.66,0.23067300475356517,6000,0.7156580466198343,71.86936592818945,691.4075757575757,310.28482184171196,0.3044783587690768
codellama:34b,hard,368.5303410230692,4436.678896761134,0.6586666666666666,0.22562045625470042,6000,0.7048936708947772,70.43071354705275,714.8542510121457,319.03823256133455,0.29506141890198045
codellama:34b,medium,686.8032088242668,4940.446916076845,0.6593333333333333,0.23283208020050125,6000,0.8017736049436756,80.26408544726301,704.9079878665318,310.90438316441777,0.2837092731829574
command-r:35b,easy,1713.2525,5416.744303797468,0.6583333333333333,0.398,6000,1.1962904828769634,126.39958283671037,689.8617721518988,299.7050140631131,0.431
command-r:35b,extreme,280.985,4073.6776630571644,0.6618333333333334,0.35,6000,1.1258949697181888,113.83240081383519,696.2256358599849,311.8220190005265,0.41025
command-r:35b,hard,411.87625,4759.915974842767,0.6625,0.384,6000,1.1453347363951503,116.19201030927834,735.4865408805032,327.28421696803684,0.4305
command-r:35b,medium,720.12575,5160.314731020613,0.663,0.447,6000,1.1537254668065549,117.95181043663472,731.4381598793364,322.758060927522,0.4855
deepseek-r1:14b,easy,1682.9865754145828,5521.3752061572295,0.6070415484732188,0.4269435300075969,5993,0.824256242404973,81.18361581920904,682.1198460692689,295.9002874079811,0.5041782729805014
deepseek-r1:14b,extreme,226.78289647868678,4416.047062179122,0.5844307384564094,0.4085939486397152,5999,0.6082084169602491,61.01453957996769,707.5131203650884,316.6977030744032,0.585303839308416
deepseek-r1:14b,hard,362.07078711040674,4587.14333612741,0.5965994332388731,0.4284632853898562,5999,0.6011587397281017,59.70852628711523,714.8996926515787,318.1542149598854,0.5995457986373959
deepseek-r1:14b,medium,676.5300851970181,4814.797602833016,0.6118333333333333,0.45475227502527804,6000,0.7330389117553892,72.98866213151928,698.6959956415146,308.3317223001197,0.596562184024267
deepseek-r1:7b,easy,1550.3159619796788,5444.031687791861,0.6022498995580554,0.3835103060587133,4978,0.8433101747623756,83.87,702.3112074716478,305.57596294373917,0.42723297938788257
deepseek-r1:7b,extreme,243.31935047361299,3850.3260022271716,0.598866288762921,0.3879668049792531,5998,0.7103889097788665,71.30542550261636,677.2719933184856,304.10217288433495,0.4901452282157676
deepseek-r1:7b,hard,389.2602220417005,4241.917355371901,0.6055045871559633,0.4274235355106273,5995,0.7470967672420773,74.88227069351231,700.0101928374655,313.4628606571631,0.5261793675479524
deepseek-r1:7b,medium,677.2551518438178,4910.563299754968,0.6122687114519086,0.4529517916988915,5999,0.7925780265771333,79.21581073283323,715.4524911516471,315.69056376981996,0.5333848930136633
gemma3:12b,easy,1680.454,5252.336349924585,0.663,0.39125,6000,0.8521668238412947,84.64004767580452,666.5593262946204,290.34232183037835,0.447
gemma3:12b,extreme,244.17,4212.9323610761885,0.6628333333333334,0.404,6000,0.751692025058735,75.52085452695829,693.806386723661,311.79639013709357,0.5195
gemma3:12b,hard,370.73775,4466.922787666082,0.6648333333333334,0.445,6000,0.7320926066876928,73.28530927835051,720.3188769115067,320.68807527645845,0.5615
gemma3:12b,medium,682.63425,4943.5767780849455,0.6631666666666667,0.44775,6000,0.7826587519535564,78.2042066027689,707.5212364915808,312.4095304718523,0.547
gemma3:4b,easy,1669.8359179589795,5531.75025406504,0.656,0.3415,6000,0.7314171217403151,70.03070960047704,694.6166158536586,301.6771851216698,0.394
gemma3:4b,extreme,223.08054027013506,4335.654876200101,0.6596666666666666,0.294,6000,0.5380105470696084,53.71297709923664,696.1937847397676,312.54012371148445,0.39675
gemma3:4b,hard,357.6155,4840.362854251012,0.6586666666666666,0.296,6000,0.5926325202752071,58.92809278350516,718.0230263157895,319.2160218882806,0.40475
gemma3:4b,medium,672.5516379094773,5227.917108920899,0.6595,0.335,6000,0.6648539602692682,65.65406125166444,711.9610816274956,313.9088167600771,0.425
gemma4:26b,easy,1723.9846821547103,5221.952668680766,0.662,0.5891823899371069,6000,1.7282143986531655,190.91497115092622,671.9118831822759,291.8351800393541,0.7474213836477988
gemma4:26b,extreme,389.4412139760265,3207.2534005037783,0.6616666666666666,0.44752076516486283,6000,2.2489587828187187,228.70661478599223,608.2926952141058,277.28179024733726,0.7998993204127863
gemma4:26b,hard,506.60555838857726,3725.9705438066467,0.662,0.48304446119065564,6000,2.1034013473385156,215.6235541535226,652.4962235649547,293.75346110369304,0.7930168299422256
gemma4:26b,medium,787.0833333333334,4405.296193597177,0.6611666666666667,0.5334170854271357,6000,1.912834444940383,199.99754901960785,666.0511721704058,295.6022058016606,0.7653266331658292
gemma4:31b,easy,1740.89875,5111.31432160804,0.6633333333333333,0.583,6000,1.7147279637410424,189.2187127532777,658.7675879396985,286.45687279323215,0.69075
gemma4:31b,extreme,374.70225,3010.1250629089077,0.6623333333333333,0.4445,6000,2.069870994394318,210.42446592065107,600.0885757423251,274.1849942979563,0.652
gemma4:31b,hard,488.2205,3498.3910530283993,0.6631666666666667,0.46875,6000,1.9198920220665763,196.3798969072165,644.5983915556673,290.2572097087462,0.651
gemma4:31b,medium,782.39475,4100.79306009555,0.6628333333333334,0.53075,6000,1.8415036078744125,192.22923322683707,633.6944933366859,281.6309841731596,0.67725
gemma4:e2b,easy,1702.2610870290096,6014.2406847935545,0.6627732354413483,0.4494831610536846,5993,1.124325618573592,117.43186332936035,726.1482880161128,314.22416000491603,0.5235078359453151
gemma4:e2b,extreme,275.6678892964321,4633.2909732728185,0.6619929894842264,0.32477492497499166,5991,1.0622035517906974,107.27103120759837,705.5098335854766,315.5035604389145,0.46548849616538845
gemma4:e2b,hard,406.9523492169277,4798.953188259109,0.6600968765658928,0.3325558147284239,5987,1.062585525811406,107.56735395189004,727.0941295546559,323.9777924777149,0.4345218260579807
gemma4:e2b,medium,713.7498332221481,5502.459057697153,0.6623831775700935,0.3829219479653102,5992,1.093266588464977,111.59928952042628,749.7908793146888,329.308470759822,0.46897931954636424
gemma4:e4b,easy,1652.4791904218928,5703.218569636136,0.6641666666666667,0.45163747143945165,6000,0.7813202296456019,76.20006781959987,717.4958594730239,310.9684212140195,0.5244986037065245
gemma4:e4b,extreme,226.7094211123723,4200.702804206309,0.6657776296049341,0.46658227848101264,5999,0.6477017449629653,64.89815349105598,692.6101652478718,311.64029268156855,0.6182278481012659
gemma4:e4b,hard,357.7303082191781,4293.251002004008,0.6653333333333333,0.4690578428896186,6000,0.6789858599085886,67.78395061728395,686.0303106212425,306.7574817852501,0.5938368274816873
gemma4:e4b,medium,665.1453669594786,5034.332747804266,0.6641666666666667,0.5135203436947182,6000,0.7327133875069555,72.97257383966245,721.2732747804266,317.6827055383968,0.6151124589335355
llama3.1:8b,easy,1781.619072032812,5995.825332998241,0.6631666666666667,0.3552231237322515,6000,1.7749726673626924,196.42660550458714,730.3051017843679,316.15107785906457,0.3838742393509128
llama3.1:8b,extreme,382.77275051124747,4581.604260651629,0.6656656656656657,0.3068756319514661,5994,2.074235015510098,211.01170655567117,718.7273182957393,320.3973372540041,0.34327603640040444
llama3.1:8b,hard,490.73133179368745,4930.913870806209,0.6656666666666666,0.3255459624174708,6000,1.8976613068829697,194.24371526858957,722.1692538808212,320.7332244657358,0.3570340274250889
llama3.1:8b,medium,798.4012298232129,5270.811339688911,0.6643333333333333,0.35376044568245124,6000,1.9393290018846812,202.65111838516094,726.1695935775214,319.8316439964907,0.3828817422132185
llama3.2:3b,easy,1885.9045,5214.838440111421,0.6581666666666667,0.36725,6000,2.8938195285256003,332.21930870083435,679.7019498607242,295.81772293614995,0.407
llama3.2:3b,extreme,492.32925,3872.5115030674847,0.652,0.32625,6000,3.21324158636479,327.42878942014244,676.7034764826176,304.54207780660295,0.40125
llama3.2:3b,hard,616.9574574574575,4111.790526849038,0.6586586586586587,0.3536036036036036,5994,3.1674398942005526,326.22265221878223,693.7021276595744,310.95690693002604,0.4336836836836837
llama3.2:3b,medium,920.9497981836529,4589.50781049936,0.6567440295997309,0.4008577194752775,5946,3.1752088761330444,335.58458646616543,709.6094750320102,314.08318191445,0.4611503531786075
llama3.3:70b,easy,1792.108,5604.7155064086455,0.6631666666666667,0.45725,6000,2.0764619749922577,232.46603098927295,692.8544860517718,300.8201584243237,0.50775
llama3.3:70b,extreme,413.3205837946653,4474.9242997729,0.6648213387015601,0.5358851674641149,5961,2.471019261538674,250.89605734767025,712.5808730759526,319.32796024453745,0.6154621002266432
llama3.3:70b,hard,517.13775,4830.703805708563,0.6656666666666666,0.5785,6000,2.244208272404097,229.81752577319588,722.3037055583375,321.2077224423436,0.647
llama3.3:70b,medium,813.16275,5291.216562107905,0.6641666666666667,0.5755,6000,2.1182489680409264,221.55937167199147,722.7513174404015,319.0682768575539,0.639
mistral:7b,easy,1677.86375,5116.581808396125,0.6193333333333333,0.356,6000,0.8255969150776972,81.35607866507748,692.7101722282024,301.6601517281301,0.47875
mistral:7b,extreme,238.70275,3692.8889780631353,0.623,0.32675,6000,0.6983075944817632,70.01576805696847,682.004280363831,307.6919371205069,0.57825
mistral:7b,hard,367.418,3745.943435937911,0.6335,0.34,6000,0.6976848756707209,69.73067010309278,667.2088923967377,300.22071324826385,0.6245
