model,t1_absolute_error_mean,t1_absolute_error_std,t1_absolute_error_median,t1_direction_correct_mean,t2_legal_mean,t2_cpl_mean,t2_cpl_std,t2_cpl_median,t3_p1_side_correct_mean,t3_p2_theme_correct_mean,t3_score_mean,t3_score_std,job_id_count,inference_ms_mean,inference_ms_median,t1_relative_error_mean,t1_abs_error_excl_mate_mean,t1_abs_error_excl_mate_median,t2_cpl_clamped_mean,t2_cpl_clamped_median,t2_wp_loss_mean,t2_wp_loss_median,t3_p2_theme_correct_v2_mean,t3_score_v2_mean
codellama:34b,741.2727272727273,2483.7368816426006,60.0,0.5026000877138024,0.6600416666666666,4702.336531784609,5414.263964213055,2274.0,0.2345794977769428,0.018348049345607114,0.25292754712254994,0.4479010303507115,24000,16517.590625,17324.0,0.7655794269713272,76.14821032838627,55.0,701.0556783031375,967.0,310.59351093003187,408.03527431401625,0.07564656522011397,0.3102260629970568
command-r:35b,781.559875,2477.275042716752,68.0,0.4606875,0.6614166666666667,4852.029230187728,5337.129568895768,2514.5,0.259375,0.135375,0.39475,0.5691596295572474,24000,12461.343125,14336.0,1.1553114139492142,118.30863039399625,60.0,713.2975935492,973.0,315.41932542635857,409.79019569032107,0.1799375,0.4393125
deepseek-r1:14b,738.3299378224633,2499.1219624240066,46.0,0.5302950125678,0.5999749906214831,4839.650687786578,5224.312715584312,2512.0,0.2723245364217455,0.15739510157584963,0.4297196379975951,0.5931146951857945,23991,3933.253761827352,1688.0,0.6917471753485374,68.2284559188595,41.0,700.6830623871058,970.0,309.66979856011267,409.14631835934637,0.29909499398772227,0.5714195304094678
deepseek-r1:7b,677.0251291852481,2371.00520981014,54.0,0.5007432575918453,0.6048323900740096,4576.854315122724,5235.8185233402855,2205.0,0.22210206150726597,0.1922271037512673,0.4143291652585333,0.5877255027005509,22970,4089.993643883326,2809.0,0.7701481197900742,76.79597679499736,49.0,698.710429712805,968.0,309.9297032187369,407.27322428737165,0.2751605272051369,0.49726258871240286
gemma3:12b,744.499,2484.798091263385,65.0,0.483375,0.6634583333333334,4718.813854173209,5195.18443685011,2333.0,0.32925,0.09275,0.422,0.5726573984774869,24000,1805.1411666666668,1626.5,0.7796525518853198,77.66563923880997,56.0,697.0683916347422,967.0,308.81732423800537,407.897538916684,0.1895,0.51875
gemma3:4b,730.7206001875586,2494.035095692231,48.0,0.5221631759924976,0.6584583333333334,4983.197683984054,5348.561012976556,2609.0,0.2819375,0.0346875,0.316625,0.4928374883512524,24000,1495.6894166666666,1476.0,0.6317257197949175,61.74321335210135,42.0,705.2080617604253,974.0,311.84674534652015,410.3952850764014,0.1231875,0.405125
gemma4:26b,851.5712098009188,2411.948818584939,142.0,0.4374042879019908,0.6617083333333333,4140.152194446194,5205.111355218381,1409.0,0.37173926708152616,0.14155509460054058,0.5132943616820668,0.5952433953263767,24000,5097.277291666666,2602.0,1.9984770048382519,209.58492888402625,121.0,649.6880549083811,922.0,289.61782887206726,389.5800608223337,0.4046765981519894,0.7764158652335156
gemma4:31b,846.5540625,2426.2261776355062,159.0,0.3878125,0.6629166666666667,3930.4978001257073,5213.39012391758,1231.0,0.3925,0.11425,0.50675,0.5804959073659814,24000,10156.311333333333,11447.0,1.8864986470190872,197.42522112034308,150.0,634.2996228786926,901.0,283.13572486140157,380.7537061143328,0.27525,0.66775
gemma4:e2b,774.6015670584313,2476.4055367780725,83.0,0.45478036175710596,0.6618119601051621,5237.96702188032,5518.787732743602,3154.0,0.30282570642660667,0.06960073351671252,0.37242643994331914,0.5339428063952827,23963,2038.5049033927305,1071.0,1.085590845803162,110.72243074173369,73.0,727.1397313828111,980.0,320.7497976264534,414.143153098791,0.17029257314328583,0.4731182795698925
gemma4:e4b,724.9630998933523,2464.8132626022793,52.0,0.5178812655527906,0.6648610358764948,4807.308034595137,5404.51349141715,2431.0,0.33881683011705155,0.13641252768111356,0.47522935779816516,0.591402177805902,23999,4231.116796533189,3102.0,0.7101517463546393,70.2226874762086,47.0,704.3377412885435,971.0,311.75996091534734,409.14631835934654,0.24916165770325846,0.58797848782031
