model_family,model_size_b,t1_absolute_error,t2_cpl,t2_legal,t3_score,job_id
gemma,0.0,747.8129460517229,5021.9810152443815,0.6633376423001542,0.4308682828573484,47962
gemma,4.0,730.7206001875586,4983.197683984054,0.6584583333333334,0.316625,24000
gemma,12.0,744.499,4718.813854173209,0.6634583333333334,0.422,24000
gemma,26.0,851.5712098009188,4140.152194446194,0.6617083333333333,0.5132943616820668,24000
gemma,31.0,846.5540625,3930.4978001257073,0.6629166666666667,0.50675,24000
llama,3.0,979.2570175438597,4448.137902507318,0.656390977443609,0.3619047619047619,23940
llama,8.0,863.1296355601102,5194.150981252743,0.6647078436275735,0.3353392031418255,23994
llama,70.0,884.698259671967,5050.852144965768,0.664454738950795,0.5367854235802392,23961
mistral,7.0,740.1261875,4307.040037430653,0.623375,0.3485625,24000
phi,14.0,848.5260582178721,4900.5104720635545,0.634625,0.4069375,24000
qwen,7.0,749.996624156039,4692.010618006104,0.6554972076352421,0.30626406601650413,23994
qwen,14.0,778.3090147536884,4807.706497900871,0.665124614486955,0.41935483870967744,23994
qwen,32.0,793.2070625,5102.290100681634,0.6662916666666666,0.385875,24000
unknown,0.0,748.0431056213763,4796.574367528496,0.601706256273001,0.47114659290922806,23912
unknown,7.0,791.7323314666478,4676.693791887125,0.6040268456375839,0.40697442710063103,46935
unknown,10.7,917.4392751896671,4462.954326296586,0.6395799474934367,0.5499593317900269,23997
unknown,14.0,738.3299378224633,4839.650687786578,0.5999749906214831,0.4297196379975951,23991
unknown,34.0,759.6084452374245,4757.993349958438,0.6518694510441415,0.31014302256439147,47982
unknown,35.0,781.559875,4852.029230187728,0.6614166666666667,0.39475,24000
