model,phase,t1_absolute_error,t2_cpl,t3_score,job_id
codellama:34b,endgame,576.219530658592,3517.6078085642316,0.16250944822373395,5964
codellama:34b,middlegame,844.4266390116331,5251.99608164753,0.2897204688908927,16668
codellama:34b,opening,202.47414741474148,3221.1872909698995,0.1989010989010989,1368
command-r:35b,endgame,643.0178571428571,3450.484541307653,0.22937625754527163,5964
command-r:35b,middlegame,877.7348812095032,5447.285351243419,0.44753419726421884,16668
command-r:35b,opening,213.73793859649123,3722.3186813186812,0.4725877192982456,1368
deepseek-r1:14b,endgame,568.0730471874167,3317.8808709175737,0.23859559200410047,5957
deepseek-r1:14b,middlegame,844.4688512097542,5440.21749637506,0.4925834925834926,16666
deepseek-r1:14b,opening,191.01956271576526,3256.468824940048,0.4901098901098901,1368
deepseek-r1:7b,endgame,534.5019673974143,3521.086489542114,0.21766135565757494,5736
deepseek-r1:7b,middlegame,768.1771270605099,5033.541653633615,0.476009362200117,15921
deepseek-r1:7b,opening,199.23940149625935,3732.8992146596856,0.5286396181384249,1313
gemma3:12b,endgame,588.9964788732394,3544.831191735954,0.22962776659959758,5964
gemma3:12b,middlegame,845.0049496040317,5249.157899502037,0.4870410367170626,16668
gemma3:12b,opening,197.84978070175438,3400.7579757975795,0.4682017543859649,1368
gemma3:4b,endgame,563.9214896829391,3330.577283076145,0.21554325955734407,5964
gemma3:4b,middlegame,835.4991448375191,5693.0918973234675,0.3560115190784737,16668
gemma3:4b,opening,181.24122807017545,3611.765227021041,0.2774122807017544,1368
gemma4:26b,endgame,719.1597739532494,3062.4323915237132,0.4011127971674254,5964
gemma4:26b,middlegame,951.4393159249724,4661.540486564996,0.5388446215139442,16668
gemma4:26b,opening,219.58028792912515,2506.9311875693675,0.6904500548847421,1368
gemma4:31b,endgame,668.5696680080483,3007.689107413011,0.471579476861167,5964
gemma4:31b,middlegame,962.0574154067674,4379.122916666666,0.5076493880489561,16668
gemma4:31b,opening,215.18640350877192,2500.2300884955753,0.6491228070175439,1368
gemma4:e2b,endgame,618.2331432405233,3706.781440162272,0.23851056692385106,5956
gemma4:e2b,middlegame,875.4381901104176,5919.51974580118,0.41214594335093613,16642
gemma4:e2b,opening,227.76461988304092,3606.5144444444445,0.4722222222222222,1365
gemma4:e4b,endgame,569.8649789029536,3506.7123425692694,0.37035150280183393,5964
gemma4:e4b,middlegame,828.108545510772,5411.239935006319,0.5015948236580698,16667
gemma4:e4b,opening,169.6600741656366,3125.5980176211456,0.6103752759381899,1368
llama3.1:8b,endgame,733.2182334710744,3559.3052259530423,0.17248407643312103,5963
llama3.1:8b,middlegame,960.3565041025169,5880.337274368231,0.3909671532846715,16663
llama3.1:8b,opening,246.1241610738255,3952.6090308370044,0.36807095343680707,1368
llama3.2:3b,endgame,822.3413218970736,3153.0554561717354,0.17507568113017155,5946
llama3.2:3b,middlegame,1077.9923312883436,5024.351437992306,0.42367376398412127,16626
llama3.2:3b,opening,461.3092105263158,3062.5866364665912,0.4232456140350877,1368
llama3.3:70b,endgame,817.8974552784076,3387.1333164685047,0.2835896143181245,5953
llama3.3:70b,middlegame,963.5740557108086,5737.936427668413,0.6265777136675081,16640
llama3.3:70b,opening,216.01754385964912,3896.3881431767336,0.5460526315789473,1368
mistral:7b,endgame,593.4708249496982,3261.7479261439657,0.2147887323943662,5964
mistral:7b,middlegame,838.2214722822174,4760.719540451824,0.3951583873290137,16668
mistral:7b,opening,184.27850877192984,3391.386836027714,0.36403508771929827,1368
mixtral:8x7b,endgame,608.2196721311475,3364.411731998888,0.3689663886782916,5948
mixtral:8x7b,middlegame,844.2850649940915,5412.012864321608,0.5033502354219486,16602
mixtral:8x7b,opening,188.8880266075388,3640.6599286563614,0.5248070562293274,1362
phi4:14b,endgame,673.476506639428,3507.4586945436004,0.2701207243460765,5964
phi4:14b,middlegame,960.9485583524028,5558.101771182384,0.4526637868970482,16668
phi4:14b,opening,240.77491601343786,3274.3622685185187,0.44627192982456143,1368
qwen2.5:14b,endgame,637.614185110664,3304.69079445145,0.24849094567404426,5964
qwen2.5:14b,middlegame,875.5457328051855,5427.329543403718,0.47758372344256395,16662
qwen2.5:14b,opening,207.36293859649123,3812.9638157894738,0.4550438596491228,1368
qwen2.5:32b,endgame,644.3541247484909,3668.0196177062376,0.24346076458752516,5964
qwen2.5:32b,middlegame,895.5242080633549,5704.76718004143,0.4321454283657307,16668
qwen2.5:32b,opening,195.5,4020.4440789473683,0.44298245614035087,1368
qwen2.5:7b,endgame,599.1222334004024,3453.3657040633784,0.17630784708249497,5964
qwen2.5:7b,middlegame,849.149171768095,5218.815659340659,0.35821029888368744,16662
qwen2.5:7b,opening,200.0953947368421,3679.839106145251,0.24013157894736842,1368
solar:10.7b,endgame,801.1162966700302,3420.2843942505133,0.4479979853941073,5964
solar:10.7b,middlegame,1012.5568900126423,4924.763180312352,0.5716216216216217,16665
solar:10.7b,opening,267.3534577387486,3542.133032694476,0.7302631578947368,1368
wizardlm2:7b,endgame,785.508699498673,3225.613078241005,0.26655982905982906,5945
wizardlm2:7b,middlegame,991.3165839327322,5406.673063606687,0.44212594741274447,16653
wizardlm2:7b,opening,393.5224242424242,3600.327423167849,0.45361990950226244,1367
yi:34b,endgame,594.1433601609658,3568.7321930048506,0.19174635128334172,5964
yi:34b,middlegame,889.7076049738691,5392.429657437822,0.4314290863218598,16650
yi:34b,opening,218.71491228070175,3347.6774566473987,0.3519736842105263,1368
