model,source,t1_absolute_error,t2_cpl,t2_legal,t3_score,job_id
codellama:34b,lichess_puzzles,741.2727272727273,4702.336531784609,0.6600416666666666,0.25292754712254994,24000
command-r:35b,lichess_puzzles,781.559875,4852.029230187728,0.6614166666666667,0.39475,24000
deepseek-r1:14b,lichess_puzzles,738.3299378224633,4839.650687786578,0.5999749906214831,0.4297196379975951,23991
deepseek-r1:7b,lichess_puzzles,677.0251291852481,4576.854315122724,0.6048323900740096,0.4143291652585333,22970
gemma3:12b,lichess_puzzles,744.499,4718.813854173209,0.6634583333333334,0.422,24000
gemma3:4b,lichess_puzzles,730.7206001875586,4983.197683984054,0.6584583333333334,0.316625,24000
gemma4:26b,lichess_puzzles,851.5712098009188,4140.152194446194,0.6617083333333333,0.5132943616820668,24000
gemma4:31b,lichess_puzzles,846.5540625,3930.4978001257073,0.6629166666666667,0.50675,24000
gemma4:e2b,lichess_puzzles,774.6015670584313,5237.96702188032,0.6618119601051621,0.37242643994331914,23963
gemma4:e4b,lichess_puzzles,724.9630998933523,4807.308034595137,0.6648610358764948,0.47522935779816516,23999
llama3.1:8b,lichess_puzzles,863.1296355601102,5194.150981252743,0.6647078436275735,0.3353392031418255,23994
llama3.2:3b,lichess_puzzles,979.2570175438597,4448.137902507318,0.656390977443609,0.3619047619047619,23940
llama3.3:70b,lichess_puzzles,884.698259671967,5050.852144965768,0.664454738950795,0.5367854235802392,23961
mistral:7b,lichess_puzzles,740.1261875,4307.040037430653,0.623375,0.3485625,24000
mixtral:8x7b,lichess_puzzles,748.0431056213763,4796.574367528496,0.601706256273001,0.47114659290922806,23912
phi4:14b,lichess_puzzles,848.5260582178721,4900.5104720635545,0.634625,0.4069375,24000
qwen2.5:14b,lichess_puzzles,778.3090147536884,4807.706497900871,0.665124614486955,0.41935483870967744,23994
qwen2.5:32b,lichess_puzzles,793.2070625,5102.290100681634,0.6662916666666666,0.385875,24000
qwen2.5:7b,lichess_puzzles,749.996624156039,4692.010618006104,0.6554972076352421,0.30626406601650413,23994
solar:10.7b,lichess_puzzles,917.4392751896671,4462.954326296586,0.6395799474934367,0.5499593317900269,23997
wizardlm2:7b,lichess_puzzles,906.7652445517143,4772.638306702635,0.6032547465053203,0.3998694090760692,23965
yi:34b,lichess_puzzles,777.9154885524835,4815.106756494138,0.643691101659578,0.3673048048048048,23982
