model,difficulty,hallucination_rate,job_id
codellama:34b,easy,0.3378333333333333,6000
codellama:34b,extreme,0.34,6000
codellama:34b,hard,0.3413333333333333,6000
codellama:34b,medium,0.3406666666666667,6000
command-r:35b,easy,0.3416666666666667,6000
command-r:35b,extreme,0.33816666666666667,6000
command-r:35b,hard,0.3375,6000
command-r:35b,medium,0.337,6000
deepseek-r1:14b,easy,0.39295845152678127,5993
deepseek-r1:14b,extreme,0.4155692615435906,5999
deepseek-r1:14b,hard,0.40340056676112684,5999
deepseek-r1:14b,medium,0.38816666666666666,6000
deepseek-r1:7b,easy,0.39775010044194453,4978
deepseek-r1:7b,extreme,0.401133711237079,5998
deepseek-r1:7b,hard,0.3944954128440367,5995
deepseek-r1:7b,medium,0.38773128854809136,5999
gemma3:12b,easy,0.337,6000
gemma3:12b,extreme,0.33716666666666667,6000
gemma3:12b,hard,0.33516666666666667,6000
gemma3:12b,medium,0.3368333333333333,6000
gemma3:4b,easy,0.344,6000
gemma3:4b,extreme,0.3403333333333333,6000
gemma3:4b,hard,0.3413333333333333,6000
gemma3:4b,medium,0.3405,6000
gemma4:26b,easy,0.338,6000
gemma4:26b,extreme,0.3383333333333333,6000
gemma4:26b,hard,0.338,6000
gemma4:26b,medium,0.3388333333333333,6000
gemma4:31b,easy,0.33666666666666667,6000
gemma4:31b,extreme,0.33766666666666667,6000
gemma4:31b,hard,0.3368333333333333,6000
gemma4:31b,medium,0.33716666666666667,6000
gemma4:e2b,easy,0.33722676455865175,5993
gemma4:e2b,extreme,0.33800701051577364,5991
gemma4:e2b,hard,0.3399031234341072,5987
gemma4:e2b,medium,0.33761682242990654,5992
gemma4:e4b,easy,0.3358333333333333,6000
gemma4:e4b,extreme,0.33422237039506586,5999
gemma4:e4b,hard,0.33466666666666667,6000
gemma4:e4b,medium,0.3358333333333333,6000
llama3.1:8b,easy,0.3368333333333333,6000
llama3.1:8b,extreme,0.33433433433433435,5994
llama3.1:8b,hard,0.3343333333333333,6000
llama3.1:8b,medium,0.33566666666666667,6000
llama3.2:3b,easy,0.3418333333333333,6000
llama3.2:3b,extreme,0.348,6000
llama3.2:3b,hard,0.34134134134134136,5994
llama3.2:3b,medium,0.34325597040026906,5946
llama3.3:70b,easy,0.3368333333333333,6000
llama3.3:70b,extreme,0.3351786612984399,5961
llama3.3:70b,hard,0.3343333333333333,6000
llama3.3:70b,medium,0.3358333333333333,6000
mistral:7b,easy,0.38066666666666665,6000
mistral:7b,extreme,0.377,6000
mistral:7b,hard,0.3665,6000
mistral:7b,medium,0.38233333333333336,6000
mixtral:8x7b,easy,0.39716666666666667,6000
mixtral:8x7b,extreme,0.402,6000
mixtral:8x7b,hard,0.39695688926458156,5915
mixtral:8x7b,medium,0.3970318492579623,5997
phi4:14b,easy,0.3626666666666667,6000
phi4:14b,extreme,0.3626666666666667,6000
phi4:14b,hard,0.36966666666666664,6000
phi4:14b,medium,0.3665,6000
qwen2.5:14b,easy,0.33566666666666667,6000
qwen2.5:14b,extreme,0.3345,6000
qwen2.5:14b,hard,0.334668001334668,5994
qwen2.5:14b,medium,0.33466666666666667,6000
qwen2.5:32b,easy,0.3343333333333333,6000
qwen2.5:32b,extreme,0.3333333333333333,6000
qwen2.5:32b,hard,0.3333333333333333,6000
qwen2.5:32b,medium,0.3338333333333333,6000
qwen2.5:7b,easy,0.344,6000
qwen2.5:7b,extreme,0.34367701034367704,5994
qwen2.5:7b,hard,0.3445,6000
qwen2.5:7b,medium,0.3458333333333333,6000
solar:10.7b,easy,0.3665610935155859,5999
solar:10.7b,extreme,0.353,6000
solar:10.7b,hard,0.3596666666666667,6000
solar:10.7b,medium,0.3624541513837946,5998
wizardlm2:7b,easy,0.4090150250417362,5990
wizardlm2:7b,extreme,0.39011356045424184,5988
wizardlm2:7b,hard,0.3942933422326047,5993
wizardlm2:7b,medium,0.39356022689356024,5994
yi:34b,easy,0.36433333333333334,6000
yi:34b,extreme,0.34873248832555037,5996
yi:34b,hard,0.3501503508185767,5986
yi:34b,medium,0.362,6000
